spec_id,screen size inches,megapixels
www.wexphotographic.com//186,2.7,14.0
www.wexphotographic.com//169,3.0,16.0
www.wexphotographic.com//610,3.0,20.2
www.wexphotographic.com//581,3.0,20.4
www.wexphotographic.com//597,2.7,16.4
www.wexphotographic.com//578,2.7,20.1
www.wexphotographic.com//201,3.0,15.4
www.wexphotographic.com//190,3.0,16.0
www.wexphotographic.com//606,3.0,20.4
www.wexphotographic.com//554,3.0,16.1
www.wexphotographic.com//153,3.0,29.0
www.wexphotographic.com//165,3.0,16.0
www.wexphotographic.com//562,4.8,16.3
www.wexphotographic.com//574,2.7,13.2
www.wexphotographic.com//173,2.7,20.1
www.wexphotographic.com//558,2.8,16.3
www.wexphotographic.com//626,3.0,16.3
www.wexphotographic.com//149,2.7,20.1
www.wexphotographic.com//166,3.0,16.0
www.wexphotographic.com//561,3.0,16.1
www.wexphotographic.com//577,3.0,16.0
www.wexphotographic.com//609,2.7,20.1
www.wexphotographic.com//170,3.0,16.0
www.wexphotographic.com//185,3.0,16.0
www.wexphotographic.com//582,3.0,18.2
www.wexphotographic.com//214,3.0,16.0
www.wexphotographic.com//594,3.0,20.0
www.wexphotographic.com//202,3.0,16.0
www.wexphotographic.com//193,3.0,12.2
www.wexphotographic.com//605,3.0,12.1
www.wexphotographic.com//557,2.8,16.3
www.wexphotographic.com//150,3.0,16.0
www.wexphotographic.com//146,3.0,12.0
www.wexphotographic.com//147,3.0,16.2
www.wexphotographic.com//151,3.0,16.0
www.wexphotographic.com//556,3.0,16.0
www.wexphotographic.com//604,2.7,14.0
www.wexphotographic.com//192,3.0,16.0
www.wexphotographic.com//203,3.0,16.2
www.wexphotographic.com//595,3.0,16.0
www.wexphotographic.com//215,3.0,16.0
www.wexphotographic.com//583,3.0,20.1
www.wexphotographic.com//612,2.7,13.2
www.wexphotographic.com//184,3.0,12.2
www.wexphotographic.com//624,4.8,16.3
www.wexphotographic.com//171,3.0,12.0
www.wexphotographic.com//608,3.0,16.0
www.wexphotographic.com//576,3.0,18.2
www.wexphotographic.com//599,3.0,16.0
www.wexphotographic.com//537,3.0,20.1
www.wexphotographic.com//167,3.0,12.8
www.wexphotographic.com//188,2.8,12.1
www.wexphotographic.com//183,3.0,16.0
www.wexphotographic.com//615,3.0,16.0
www.wexphotographic.com//584,3.0,12.1
www.wexphotographic.com//212,3.0,10.0
www.wexphotographic.com//592,3.0,16.1
www.wexphotographic.com//204,3.0,16.0
www.wexphotographic.com//195,3.0,46.0
www.wexphotographic.com//603,3.0,16.1
www.wexphotographic.com//551,0.0,18.0
www.wexphotographic.com//156,3.0,16.8
www.wexphotographic.com//619,3.0,16.0
www.wexphotographic.com//530,3.0,20.1
www.wexphotographic.com//160,3.0,16.0
www.wexphotographic.com//567,3.0,12.1
www.wexphotographic.com//588,3.0,16.2
www.wexphotographic.com//208,3.0,16.0
www.wexphotographic.com//571,3.0,16.2
www.wexphotographic.com//176,3.0,16.0
www.wexphotographic.com//199,3.0,16.0
www.wexphotographic.com//623,3.0,12.1
www.wexphotographic.com//622,2.7,18.2
www.wexphotographic.com//177,3.0,16.0
www.wexphotographic.com//198,2.5,10.1
www.wexphotographic.com//570,2.7,20.1
www.wexphotographic.com//209,3.0,46.0
www.wexphotographic.com//566,2.7,16.2
www.wexphotographic.com//589,3.0,16.0
www.wexphotographic.com//161,3.0,20.2
www.wexphotographic.com//618,3.0,10.1
www.wexphotographic.com//157,3.0,16.2
www.wexphotographic.com//550,3.0,16.3
www.wexphotographic.com//602,3.0,16.3
www.wexphotographic.com//194,3.0,16.0
www.wexphotographic.com//205,3.0,20.2
www.wexphotographic.com//593,3.0,20.2
www.wexphotographic.com//213,3.0,16.1
www.wexphotographic.com//585,3.0,16.0
www.wexphotographic.com//614,3.0,12.8
www.wexphotographic.com//182,2.7,20.1
