spec_id,screen_size,dots
www.pricedekho.com//996,,
www.pricedekho.com//1151,3.0,460000d
www.pricedekho.com//1214,3.2,920000d
www.pricedekho.com//1261,2.7,230000d
www.pricedekho.com//1273,3.0,
www.pricedekho.com//1038,,
www.pricedekho.com//1091,,
www.pricedekho.com//1247,2.7,230000d
www.pricedekho.com//1103,3.0,460000d
www.pricedekho.com//1264,3.0,460000d
www.pricedekho.com//1057,,
www.pricedekho.com//753,2.7,
www.pricedekho.com//820,3.0,610000d
www.pricedekho.com//1212,3.0,460000d
www.pricedekho.com//1235,2.7,
www.pricedekho.com//1176,3.0,230000d
www.pricedekho.com//1274,3.0,460000d
www.pricedekho.com//764,3.0,920000d
www.pricedekho.com//1183,3.0,460000d
www.pricedekho.com//1008,,
www.pricedekho.com//1143,2.8,460000d
www.pricedekho.com//1208,3.0,460800d
www.pricedekho.com//1084,,
www.pricedekho.com//734,2.7,230000d
www.pricedekho.com//1153,2.7,230000d
www.pricedekho.com//1019,,
www.pricedekho.com//1071,,
www.pricedekho.com//1058,,
www.pricedekho.com//1166,2.7,460800d
www.pricedekho.com//1101,3.0,921000d
www.pricedekho.com//1115,2.7,230000d
www.pricedekho.com//763,,
www.pricedekho.com//1056,,
www.pricedekho.com//1255,3.0,921000d
www.pricedekho.com//1175,2.7,230000d
www.pricedekho.com//1021,,
www.pricedekho.com//1127,3.0,
www.pricedekho.com//1053,,
www.pricedekho.com//1182,2.7,230000d
www.pricedekho.com//1050,,
www.pricedekho.com//1243,3.0,
www.pricedekho.com//742,3.0,1040000d
www.pricedekho.com//1190,3.0,
www.pricedekho.com//1177,2.7,
www.pricedekho.com//1142,3.0,460000d
www.pricedekho.com//1099,3.0,230000d
www.pricedekho.com//1267,3.2,461000d
www.pricedekho.com//1042,,
www.pricedekho.com//1128,3.0,
www.pricedekho.com//1012,,
www.pricedekho.com//1250,2.7,230000d
www.pricedekho.com//1116,,
www.pricedekho.com//1209,3.0,
www.pricedekho.com//975,,
www.pricedekho.com//744,3.0,
www.pricedekho.com//980,,
www.pricedekho.com//1262,2.7,
www.pricedekho.com//1133,2.7,230000d
www.pricedekho.com//1037,,
www.pricedekho.com//1079,,
www.pricedekho.com//768,,
www.pricedekho.com//758,3.0,921600d
www.pricedekho.com//1026,,
www.pricedekho.com//974,,
www.pricedekho.com//999,,
www.pricedekho.com//1147,3.0,
www.pricedekho.com//1046,,
www.pricedekho.com//1156,3.0,921600d
www.pricedekho.com//1013,,
www.pricedekho.com//1155,3.0,460000d
www.pricedekho.com//1259,3.5,1150000d
www.pricedekho.com//732,2.7,230000d
www.pricedekho.com//1088,,
www.pricedekho.com//762,2.7,230000d
www.pricedekho.com//1020,,
www.pricedekho.com//765,,
www.pricedekho.com//1162,3.0,921000d
www.pricedekho.com//1148,3.0,921000d
www.pricedekho.com//1113,3.0,460000d
www.pricedekho.com//1276,3.0,230000d
www.pricedekho.com//1271,3.0,460000d
www.pricedekho.com//1179,3.0,460000d
www.pricedekho.com//1102,2.7,230400d
www.pricedekho.com//1197,3.2,921000d
www.pricedekho.com//1202,3.0,230000d
www.pricedekho.com//1189,3.0,460800d
www.pricedekho.com//1269,4.7,
www.pricedekho.com//1054,,
www.pricedekho.com//1164,2.7,230400d
www.pricedekho.com//1064,,
www.pricedekho.com//1154,2.7,
www.pricedekho.com//1205,2.7,230000d
www.pricedekho.com//960,2.7,230400d
www.pricedekho.com//1055,,
www.pricedekho.com//1257,2.7,230000d
www.pricedekho.com//1035,,
www.pricedekho.com//740,,
www.pricedekho.com//1036,,
www.pricedekho.com//1109,3.0,460800d
www.pricedekho.com//738,3.2,
www.pricedekho.com//1117,2.7,230400d
www.pricedekho.com//1218,3.0,461000d
www.pricedekho.com//1125,3.0,1040000d
www.pricedekho.com//747,2.4,112000d
www.pricedekho.com//1096,2.7,230400d
www.pricedekho.com//1200,3.0,230000d
www.pricedekho.com//1252,2.7,230000d
www.pricedekho.com//1149,2.7,
www.pricedekho.com//1233,3.2,1036800d
www.pricedekho.com//966,,
www.pricedekho.com//1137,3.0,920000d
www.pricedekho.com//1144,2.7,230000d
www.pricedekho.com//1059,,
www.pricedekho.com//988,,
www.pricedekho.com//1201,2.8,
www.pricedekho.com//1018,,
www.pricedekho.com//1167,2.7,230000d
www.pricedekho.com//1132,3.0,460800d
www.pricedekho.com//1268,3.0,461000d
www.pricedekho.com//1093,3.0,230000d
www.pricedekho.com//749,,
www.pricedekho.com//1152,3.0,461000d
www.pricedekho.com//1068,,
www.pricedekho.com//1251,3.0,
www.pricedekho.com//1229,3.0,
www.pricedekho.com//1081,,
www.pricedekho.com//1245,3.0,230000d
www.pricedekho.com//984,,
www.pricedekho.com//1131,3.0,
www.pricedekho.com//1230,3.0,921000d
www.pricedekho.com//1270,3.0,
www.pricedekho.com//1186,3.0,460000d
www.pricedekho.com//736,3.0,461000d
www.pricedekho.com//1223,2.3,
www.pricedekho.com//1185,3.0,
www.pricedekho.com//1180,2.7,230000d
www.pricedekho.com//1023,,
www.pricedekho.com//968,,
www.pricedekho.com//1184,3.0,1040000d
www.pricedekho.com//1275,3.0,921000d
www.pricedekho.com//1157,2.4,110000d
www.pricedekho.com//1003,,
www.pricedekho.com//1005,,
www.pricedekho.com//963,,
www.pricedekho.com//1199,3.0,460000d
www.pricedekho.com//1150,2.7,230000d
www.pricedekho.com//962,,
www.pricedekho.com//1272,3.0,230000d
www.pricedekho.com//1072,,
www.pricedekho.com//1181,3.0,921000d
www.pricedekho.com//755,,
www.pricedekho.com//989,,
www.pricedekho.com//748,3.0,
www.pricedekho.com//1242,3.0,921000d
www.pricedekho.com//1110,2.7,
www.pricedekho.com//739,,
www.pricedekho.com//1161,2.7,230000d
www.pricedekho.com//1231,3.0,921000d
www.pricedekho.com//1228,2.8,
www.pricedekho.com//1075,,
www.pricedekho.com//1111,,
www.pricedekho.com//1049,,
www.pricedekho.com//1080,,
www.pricedekho.com//1246,3.0,
www.pricedekho.com//1118,3.0,920000d
www.pricedekho.com//1241,2.7,230000d
www.pricedekho.com//724,3.0,230000d
www.pricedekho.com//1076,,
www.pricedekho.com//961,,
www.pricedekho.com//1141,3.0,921000d
www.pricedekho.com//1062,,
www.pricedekho.com//979,,
www.pricedekho.com//1244,2.8,
www.pricedekho.com//760,,
www.pricedekho.com//731,2.9,460000d
www.pricedekho.com//969,,
www.pricedekho.com//1024,,
www.pricedekho.com//1136,3.0,921600d
www.pricedekho.com//973,,
www.pricedekho.com//1104,2.7,230400d
www.pricedekho.com//1248,2.7,230000d
www.pricedekho.com//1277,3.0,921000d
www.pricedekho.com//1089,3.0,460000d
www.pricedekho.com//1130,3.0,1040000d
www.pricedekho.com//1234,3.0,230000d
www.pricedekho.com//754,3.0,460000d
www.pricedekho.com//1119,3.0,230000d
www.pricedekho.com//1232,3.0,920000d
www.pricedekho.com//1198,3.0,
www.pricedekho.com//1077,,
www.pricedekho.com//977,,
www.pricedekho.com//767,2.7,230400d
www.pricedekho.com//1237,2.7,230000d
www.pricedekho.com//1051,,
www.pricedekho.com//1006,,
www.pricedekho.com//1194,2.7,230000d
www.pricedekho.com//761,3.0,
www.pricedekho.com//813,3.0,460800d
www.pricedekho.com//1061,,
www.pricedekho.com//1066,,
www.pricedekho.com//1017,,
www.pricedekho.com//1105,2.7,230400d
www.pricedekho.com//1165,3.0,460000d
www.pricedekho.com//1123,3.0,
www.pricedekho.com//981,,
www.pricedekho.com//1174,,
www.pricedekho.com//766,2.7,
www.pricedekho.com//1173,3.0,230000d
www.pricedekho.com//730,2.7,
www.pricedekho.com//727,2.7,230000d
www.pricedekho.com//1022,,
www.pricedekho.com//992,,
www.pricedekho.com//994,,
www.pricedekho.com//1014,3.0,
www.pricedekho.com//1100,3.0,230000d
www.pricedekho.com//1217,3.0,
www.pricedekho.com//1159,3.0,1228800d
www.pricedekho.com//1204,3.0,460000d
www.pricedekho.com//1114,3.0,460000d
www.pricedekho.com//1158,,
www.pricedekho.com//958,,
www.pricedekho.com//1112,3.0,
www.pricedekho.com//1025,,
www.pricedekho.com//1260,3.0,460000d
www.pricedekho.com//757,3.5,460000d
www.pricedekho.com//759,2.7,230000d
www.pricedekho.com//1067,,
www.pricedekho.com//751,3.0,1040000d
www.pricedekho.com//1254,3.0,230000d
www.pricedekho.com//752,,
www.pricedekho.com//990,,
www.pricedekho.com//1215,3.0,230000d
www.pricedekho.com//1226,3.0,1040000d
www.pricedekho.com//1171,3.0,460000d
www.pricedekho.com//1187,3.0,
www.pricedekho.com//1210,3.2,921000d
www.pricedekho.com//745,3.0,230000d
www.pricedekho.com//1083,,
www.pricedekho.com//978,,
www.pricedekho.com//1140,3.0,
www.pricedekho.com//1258,2.8,461000d
www.pricedekho.com//1004,,
www.pricedekho.com//746,3.0,460000d
www.pricedekho.com//1070,,
www.pricedekho.com//1163,3.0,
www.pricedekho.com//1219,2.7,230000d
www.pricedekho.com//1063,,
www.pricedekho.com//1065,,
www.pricedekho.com//967,,
www.pricedekho.com//1263,3.0,460000d
www.pricedekho.com//1032,,
www.pricedekho.com//1238,3.0,921000d
www.pricedekho.com//1256,3.0,461000d
www.pricedekho.com//1191,3.0,
www.pricedekho.com//1222,3.0,920000d
www.pricedekho.com//1188,3.0,230000d
www.pricedekho.com//1193,3.0,921000d
www.pricedekho.com//729,3.0,230000d
www.pricedekho.com//1092,2.7,
www.pricedekho.com//1011,,
www.pricedekho.com//991,,
www.pricedekho.com//1138,3.0,230000d
www.pricedekho.com//1178,2.7,230400d
www.pricedekho.com//997,,
www.pricedekho.com//1124,3.0,230000d
