spec_id,type,screen_size,megapixels
www.pcconnection.com//12431,compact,3.0,16.1
www.pcconnection.com//12429,slr,3.2,24.3
www.pcconnection.com//12423,compact,3.0,18.2
www.pcconnection.com//12444,slr,3.2,23.4
www.pcconnection.com//4456,compact,3.0,16.2
www.pcconnection.com//12382,compact,2.7,16.2
www.pcconnection.com//4412,mirrorless system,3.0,16.1
www.pcconnection.com//4416,mirrorless system,3.0,16.1
www.pcconnection.com//12440,smartphone attachable,,18.2
www.pcconnection.com//12373,compact,3.0,16.0
www.pcconnection.com//12413,,,
www.pcconnection.com//12168,,,
www.pcconnection.com//4442,slr,3.0,20.2
www.pcconnection.com//12356,slr,3.2,24.2
www.pcconnection.com//4429,slr,3.2,36.3
www.pcconnection.com//4462,compact,3.0,16.0
www.pcconnection.com//12193,slr,3.0,24.2
www.pcconnection.com//4401,mirrorless system,3.0,
www.pcconnection.com//4395,compact,2.7,16.4
www.pcconnection.com//12412,compact,3.0,18.2
www.pcconnection.com//4444,compact,3.0,16.0
www.pcconnection.com//12414,slr,3.0,16.3
www.pcconnection.com//12362,slr,3.0,20.9
www.pcconnection.com//12395,slr,3.0,20.2
www.pcconnection.com//12197,slr,3.2,24.3
www.pcconnection.com//12439,slr,3.2,24.3
www.pcconnection.com//12426,,,
www.pcconnection.com//12424,slr,3.0,18.0
www.pcconnection.com//12164,mirrorless system,3.0,18.4
www.pcconnection.com//12167,slr,3.2,24.1
www.pcconnection.com//4446,compact,2.7,16.0
www.pcconnection.com//12194,mirrorless system,3.0,14.2
www.pcconnection.com//12195,compact,3.0,16.1
www.pcconnection.com//4474,mirrorless system,3.0,16.1
www.pcconnection.com//4420,compact,3.0,14.1
www.pcconnection.com//12437,compact,3.3,18.2
www.pcconnection.com//12185,slr,3.2,24.2
www.pcconnection.com//4403,mirrorless system,3.0,16.1
www.pcconnection.com//4431,point shoot,3.0,16.2
www.pcconnection.com//12180,,,
www.pcconnection.com//12189,slr,3.0,24.1
www.pcconnection.com//12386,slr,3.0,18.0
www.pcconnection.com//12162,compact,3.0,16.2
www.pcconnection.com//4436,mirrorless system,3.0,16.1
www.pcconnection.com//12172,compact,3.0,16.0
www.pcconnection.com//12186,compact,3.0,20.1
www.pcconnection.com//12428,compact,3.0,16.0
www.pcconnection.com//12163,slr,3.0,16.2
www.pcconnection.com//12421,point shoot,2.7,20.0
www.pcconnection.com//12411,slr,3.2,22.3
www.pcconnection.com//4458,compact,3.0,16.0
www.pcconnection.com//12405,point shoot,3.0,16.0
www.pcconnection.com//4453,slr,3.2,22.3
www.pcconnection.com//12170,slr,3.2,24.1
www.pcconnection.com//12363,mirrorless system,3.0,24.3
www.pcconnection.com//4430,compact,3.0,14.0
www.pcconnection.com//4402,mirrorless system,3.0,10.1
www.pcconnection.com//4406,compact,3.0,12.0
www.pcconnection.com//4427,mirrorless system,3.0,16.1
www.pcconnection.com//12357,compact,3.0,16.1
www.pcconnection.com//4476,mirrorless system,3.0,14.2
www.pcconnection.com//4422,mirrorless system,3.0,16.1
www.pcconnection.com//12443,compact,3.0,20.2
www.pcconnection.com//12388,compact,2.7,20.1
www.pcconnection.com//12435,,,
www.pcconnection.com//12387,compact,2.7,16.1
www.pcconnection.com//12187,slr,3.2,24.2
www.pcconnection.com//12452,mirrorless system,3.0,10.1
www.pcconnection.com//4455,mirrorless system,3.0,14.2
www.pcconnection.com//12399,compact,3.0,12.1
www.pcconnection.com//4410,compact,3.0,12.0
www.pcconnection.com//12370,,,
www.pcconnection.com//4478,compact,2.7,16.4
www.pcconnection.com//12199,slr,2.7,20.1
www.pcconnection.com//12446,compact,3.0,16.0
www.pcconnection.com//12364,slr,3.0,18.0
www.pcconnection.com//4450,compact,3.0,16.2
www.pcconnection.com//4432,mirrorless system,3.0,10.1
www.pcconnection.com//12198,compact,3.0,16.2
www.pcconnection.com//4419,mirrorless system,3.0,16.1
www.pcconnection.com//4399,mirrorless system,3.0,16.1
www.pcconnection.com//12377,compact,2.7,16.1
www.pcconnection.com//12394,compact,2.7,16.1
www.pcconnection.com//12116,,,
www.pcconnection.com//4437,,,
www.pcconnection.com//12179,compact,3.0,16.0
www.pcconnection.com//12374,slr,3.0,18.0
www.pcconnection.com//12417,point shoot,4.8,16.3
www.pcconnection.com//12174,compact,2.5,9.1
www.pcconnection.com//12403,mirrorless system,3.0,20.3
www.pcconnection.com//4404,compact,2.7,20.1
www.pcconnection.com//12434,mirrorless system,3.0,20.1
www.pcconnection.com//12393,point shoot,3.0,16.0
www.pcconnection.com//12358,compact,2.7,20.1
www.pcconnection.com//4418,,,
www.pcconnection.com//12182,compact,3.0,20.4
www.pcconnection.com//12165,mirrorless system,3.0,12.4
www.pcconnection.com//12449,smartphone attachable,,18.2
www.pcconnection.com//4477,mirrorless system,3.0,16.1
www.pcconnection.com//12196,compact,3.0,10.1
www.pcconnection.com//4439,mirrorless system,3.0,16.1
www.pcconnection.com//4473,slr,3.0,18.0
www.pcconnection.com//12401,compact,3.0,16.0
www.pcconnection.com//12173,,,
www.pcconnection.com//12192,mirrorless system,3.0,12.4
www.pcconnection.com//12448,compact,3.3,18.2
www.pcconnection.com//4397,mirrorless system,3.0,16.1
www.pcconnection.com//4400,compact,3.0,16.0
www.pcconnection.com//12442,compact,3.0,16.0
www.pcconnection.com//4408,mirrorless system,3.0,14.2
www.pcconnection.com//12175,compact,3.0,12.2
www.pcconnection.com//12359,mirrorless system,3.0,16.1
www.pcconnection.com//4413,,,
www.pcconnection.com//12391,mirrorless system,3.0,36.4
www.pcconnection.com//4423,compact,2.7,16.4
www.pcconnection.com//4448,mirrorless system,3.0,16.1
www.pcconnection.com//4443,compact,3.0,16.2
www.pcconnection.com//12390,compact,3.0,16.0
www.pcconnection.com//4461,compact,3.0,16.0
www.pcconnection.com//12408,compact,3.0,18.2
www.pcconnection.com//4445,,,
www.pcconnection.com//12183,,,
www.pcconnection.com//12178,slr,3.0,24.1
www.pcconnection.com//4433,mirrorless system,3.0,16.1
www.pcconnection.com//4472,mirrorless system,3.0,16.1
www.pcconnection.com//4398,,,
www.pcconnection.com//12376,compact,3.0,20.4
www.pcconnection.com//12360,compact,3.0,16.0
www.pcconnection.com//12361,point shoot,3.0,16.0
www.pcconnection.com//4447,,,
www.pcconnection.com//12176,compact,2.4,16.0
www.pcconnection.com//4449,point shoot,3.0,12.1
www.pcconnection.com//12436,slr,3.0,18.0
www.pcconnection.com//12190,compact,3.0,16.0
www.pcconnection.com//12441,slr,3.0,18.0
www.pcconnection.com//4414,mirrorless system,3.0,12.3
www.pcconnection.com//4471,compact,3.0,16.0
www.pcconnection.com//12369,compact,3.0,16.2
www.pcconnection.com//12427,compact,2.4,16.1
www.pcconnection.com//12430,point shoot,3.0,16.1
www.pcconnection.com//4417,compact,2.8,12.0
www.pcconnection.com//4426,compact,2.7,13.2
www.pcconnection.com//4409,,,
www.pcconnection.com//12191,,,
www.pcconnection.com//12425,compact,3.0,16.1
