spec_id,dimensions w x h x d,weight
www.cambuy.com.au//93,h4.9w3.3d4.2,565.0
www.cambuy.com.au//108,,
www.cambuy.com.au//50,h5.2w3.9d3.1,
www.cambuy.com.au//149,h3.7w2.1d0.9,130.0
www.cambuy.com.au//46,h4.0w2.3d1.5,
www.cambuy.com.au//131,h3.7w2.3d0.8,120.0
www.cambuy.com.au//127,h4.9w3.9d3.0,530.0
www.cambuy.com.au//90,h3.7w2.1d0.9,
www.cambuy.com.au//28,,497.0
www.cambuy.com.au//53,h3.7w2.1d0.9,
www.cambuy.com.au//45,,670.0
www.cambuy.com.au//73,h3.8w2.3d0.9,145.0
www.cambuy.com.au//49,h4.9w3.9d3.0,460.0
www.cambuy.com.au//111,h4.9w3.9d3.0,460.0
www.cambuy.com.au//110,h4.1w2.7d3.2,313.0
www.cambuy.com.au//147,h4.4w2.6d1.5,323.0
www.cambuy.com.au//106,h4.4w2.6d1.4,269.0
www.cambuy.com.au//72,,
www.cambuy.com.au//64,h3.8w2.3d0.9,145.0
www.cambuy.com.au//33,,
www.cambuy.com.au//13,h4.4w2.6d1.2,247.0
www.cambuy.com.au//52,h4.9w3.9d3.0,460.0
www.cambuy.com.au//29,,558.0
www.cambuy.com.au//91,h4.9w3.9d3.0,530.0
www.cambuy.com.au//68,h4.4w2.6d1.4,269.0
www.cambuy.com.au//87,h3.7w2.1d0.9,127.0
www.cambuy.com.au//63,h5.5w4.1d3.1,
www.cambuy.com.au//8,h4.7w3.2d3.6,441.0
www.cambuy.com.au//75,h4.6w3.6d2.7,
www.cambuy.com.au//22,h3.9w2.3d1.1,217.0
www.cambuy.com.au//59,h4.3w2.4d1.2,206.0
www.cambuy.com.au//101,h3.7w2.3d0.8,120.0
www.cambuy.com.au//140,h4.2w2.6d1.6,175.0
www.cambuy.com.au//38,h5.6w4.3d2.6,765.0
www.cambuy.com.au//160,h3.7w2.3d0.8,120.0
www.cambuy.com.au//80,h4.6w3.6d2.7,
www.cambuy.com.au//79,h4.8w3.3d2.8,340.0
www.cambuy.com.au//121,h3.7w2.1d0.9,
www.cambuy.com.au//96,h5.2w3.9d3.1,
www.cambuy.com.au//55,,687.0
www.cambuy.com.au//14,h4.9w3.9d3.0,530.0
www.cambuy.com.au//43,h4.4w3.0d3.6,508.0
www.cambuy.com.au//15,,497.0
www.cambuy.com.au//54,h4.9w3.9d3.0,460.0
www.cambuy.com.au//78,h4.1w2.7d3.2,313.0
www.cambuy.com.au//120,h3.7w2.1d0.9,127.0
www.cambuy.com.au//97,h4.3w2.5d1.5,
www.cambuy.com.au//136,,650.0
www.cambuy.com.au//81,h4.1w2.3d1.3,194.0
www.cambuy.com.au//5,,351.0
www.cambuy.com.au//116,h3.7w2.1d0.9,130.0
www.cambuy.com.au//157,h5.5w4.4d3.1,840.0
www.cambuy.com.au//58,h4.8w3.3d2.8,340.0
www.cambuy.com.au//100,h5.5w4.1d3.1,
www.cambuy.com.au//74,h5.1w3.5d4.0,
www.cambuy.com.au//9,,214.0
